feature_family,feature,level,focal_count,rest_count,focal_prevalence,rest_prevalence,prevalence_difference,focal_dead_rate,rest_dead_rate,focal_error_rate,rest_error_rate
treatment,rx_summ_surgothregdis2003,<RARE n<30>,2,11,0.001098297638660077,0.0004959646512466747,0.0006023329874134021,1.0,0.8181818181818182,0.0,0.09090909090909091
treatment,rx_summ_surgothregdis2003,None; diagnosed at autopsy,1701,20771,0.9341021416803954,0.9365165246404257,-0.00241438296003027,0.78777189888301,0.8273073034519282,0.15990593768371547,0.12098599008232631
treatment,rx_summ_surgothregdis2003,Unknown; death certificate only,22,734,0.012081274025260845,0.03309436854682357,-0.021013094521562727,1.0,0.9863760217983651,0.045454545454545456,0.01226158038147139
treatment,rx_summ_surgprim_site19982022,0,1401,16706,0.7693574958813838,0.7532350421569953,0.016122453724388475,0.8886509635974305,0.9157787621213935,0.11277658815132048,0.07973183287441638
treatment,rx_summ_surgprim_site19982022,33,179,1971,0.09829763866007687,0.08886784796429055,0.009429790695786325,0.4022346368715084,0.5053272450532724,0.3128491620111732,0.2831050228310502
treatment,rx_summ_surgprim_site19982022,30,32,239,0.01757276221856123,0.010775959240723207,0.0067968029778380235,0.65625,0.6317991631799164,0.4375,0.32217573221757323
treatment,rx_summ_surgprim_site19982022,56,17,69,0.009335529928610654,0.0031110509941836874,0.006224478934426967,0.5882352941176471,0.7101449275362319,0.4117647058823529,0.2753623188405797
treatment,rx_summ_surgprim_site19982022,21,59,616,0.032399780340472265,0.02777402046981379,0.004625759870658476,0.5084745762711864,0.6185064935064936,0.423728813559322,0.26136363636363635
treatment,rx_summ_surgprim_site19982022,45,8,47,0.004393190554640308,0.0021191216916903377,0.00227406886294997,0.625,0.5531914893617021,0.5,0.3191489361702128
treatment,rx_summ_surgprim_site19982022,12,6,36,0.0032948929159802307,0.001623157040443663,0.0016717358755365677,0.6666666666666666,0.9166666666666666,0.16666666666666666,0.05555555555555555
treatment,rx_summ_surgprim_site19982022,<RARE n<30>,16,158,0.008786381109280615,0.007123855899724965,0.0016625252095556504,0.8125,0.7848101265822784,0.125,0.2088607594936709
treatment,rx_summ_surgprim_site19982022,22,11,153,0.0060406370126304225,0.006898417421885568,-0.0008577804092551452,0.18181818181818182,0.43137254901960786,0.2727272727272727,0.2679738562091503
treatment,rx_summ_surgprim_site19982022,99,18,681,0.009884678747940691,0.030704720681725958,-0.02082004193378527,1.0,0.9911894273127754,0.0,0.007342143906020558
treatment,rx_summ_surgprim_site19982022,Blank(s),74,1503,0.040637012630422846,0.06776680643852293,-0.02712979380810008,0.3108108108108108,0.4504324683965403,0.22972972972972974,0.24484364604125083
tumor_size,tumor_size_best_bin,>100,78,621,0.042833607907743,0.027999458947653186,0.014834148960089815,0.9358974358974359,0.927536231884058,0.07692307692307693,0.06763285024154589
tumor_size,tumor_size_best_bin,71-100,181,1938,0.09939593629873696,0.08737995401055051,0.012015982288186441,0.8950276243093923,0.9195046439628483,0.12154696132596685,0.07327141382868937
tumor_size,tumor_size_best_bin,51-70,238,2720,0.13069741900054915,0.12263853194463231,0.008058887055916841,0.865546218487395,0.8970588235294118,0.15966386554621848,0.09522058823529411
tumor_size,tumor_size_best_bin,<=10,80,821,0.043931905546403076,0.037016998061229094,0.006914907485173982,0.5625,0.6114494518879415,0.3,0.21315468940316687
tumor_size,tumor_size_best_bin,Unavailable,387,4793,0.21252059308072488,0.21610532485684655,-0.0035847317761216746,0.896640826873385,0.9346964322971,0.09302325581395349,0.06196536615898185
tumor_size,tumor_size_best_bin,31-50,366,4570,0.20098846787479407,0.20605076874520944,-0.0050623008704153705,0.7814207650273224,0.8553610503282276,0.16120218579234974,0.11794310722100657
tumor_size,tumor_size_best_bin,21-30,238,3199,0.13069741900054915,0.1442355381216466,-0.013538119121097453,0.6932773109243697,0.7636761487964989,0.19747899159663865,0.1541106595811191
tumor_size,tumor_size_best_bin,11-20,253,3517,0.13893465129049973,0.15857342531223229,-0.019638774021732558,0.6284584980237155,0.6667614444128519,0.21739130434782608,0.18879727040090988
