dimension,slice,candidate,rows,dead_count,alive_count,actual_dead_rate,global_policy_predicted_dead_rate,global_policy_dead_class_f1,global_policy_weighted_f1,global_policy_dead_f1_gap,global_policy_weighted_f1_gap,within_slice_predicted_dead_rate,within_slice_dead_class_f1,within_slice_weighted_f1,within_minus_global_dead_f1,within_minus_global_weighted_f1,large_enough_for_intervention,weak_by_dead_f1,weak_by_weighted_f1
histologic_type_icdo3,8041,frozen_tree,2687,2496,191,0.9289170078154075,0.9665053963528099,0.9624975456508934,0.916847134785571,0.03428859042701282,0.039333701949750055,0.8451804986974321,0.9272078875603105,0.8917465866968084,-0.03528965809058293,-0.02510054808876261,True,False,False
histologic_type_icdo3,8010,frozen_tree,963,899,64,0.9335410176531672,0.9667705088265836,0.9704918032786886,0.9350697104335837,0.042282848054807975,0.05755627759776272,0.8452751817237798,0.9281961471103327,0.8945904359016781,-0.042295656168355844,-0.040479274531905585,True,False,False
histologic_type_icdo3,8246,frozen_tree,221,205,16,0.9276018099547512,0.9230769230769231,0.9779951100244498,0.959843263309393,0.04978615480056925,0.08232983047357201,0.8461538461538461,0.9387755102040817,0.9084569212300305,-0.039219599820368156,-0.051386342079362435,False,False,False
histologic_type_icdo3,8000,frozen_tree,2330,2241,89,0.9618025751072962,0.9798283261802575,0.9827586206896551,0.9615098503512696,0.054549665465774555,0.08399641751544862,0.8450643776824034,0.9263657957244655,0.9028646511190627,-0.0563928249651896,-0.0586451992322069,True,False,False
histologic_type_icdo3,8551,nested_pseudo90,514,150,364,0.2918287937743191,0.1926070038910506,0.5943775100401606,0.7898108720853153,-0.332239405382725,-0.08498629592080797,0.8443579766536965,0.5034246575342466,0.3925407604715744,-0.090952852505914,-0.39727011161374093,True,True,True
histologic_type_icdo3,8240,nested_pseudo90,323,104,219,0.3219814241486068,0.23219814241486067,0.6033519553072626,0.7692046443961729,-0.323264960115623,-0.10559252360995042,0.8452012383900929,0.5411140583554377,0.416198129715052,-0.06223789695182491,-0.3530065146811209,False,True,True
histologic_type_icdo3,8550,nested_pseudo90,252,164,88,0.6507936507936508,0.5912698412698413,0.7284345047923323,0.6678609330199248,-0.1981824106305533,-0.2069362349861985,0.8452380952380952,0.7745358090185677,0.6195485511260695,0.04610130422623537,-0.04831238189385523,False,True,True
histologic_type_icdo3,8255,nested_pseudo90,253,153,100,0.6047430830039525,0.5612648221343873,0.7932203389830509,0.7606828429160938,-0.1333965764398347,-0.1141143250900295,0.8458498023715415,0.8119891008174387,0.6900950381631776,0.018768761834387804,-0.07058780475291615,False,True,True
histologic_type_icdo3,8071,nested_pseudo90,293,207,86,0.7064846416382252,0.6655290102389079,0.8557213930348259,0.8055482344915872,-0.07089552238805974,-0.06924893351453609,0.8464163822525598,0.8703296703296703,0.7761959635862145,0.014608277294844485,-0.029352270905372735,False,True,True
histologic_type_icdo3,8140,nested_pseudo90,8941,7378,1563,0.8251873392238005,0.8465496029526899,0.9165718873352512,0.8568831323826662,-0.010045028087634411,-0.01791403562345706,0.8449837825746561,0.9162258086117994,0.8567130398825569,-0.0003460787234518259,-0.0001700925001093534,True,False,False
histologic_type_icdo3,8046,nested_pseudo90,1260,1093,167,0.8674603174603175,0.9071428571428571,0.9320214669051878,0.8700945886009757,0.005404551482302233,-0.004702579405147622,0.8452380952380952,0.9147358665430955,0.8586685112944848,-0.017285600362092368,-0.011426077306490812,True,False,False
histologic_type_icdo3,8070,nested_pseudo90,3956,3451,505,0.8723458038422649,0.903690596562184,0.9365214916026189,0.880365453802004,0.009904576179733282,0.005568285795880756,0.8450455005055612,0.9231675007359434,0.8733730852332794,-0.013353990866675436,-0.0069923685687246495,True,False,False
histologic_type_icdo3,8041,nested_pseudo90,2687,2496,191,0.9289170078154075,0.9620394491998512,0.963196221216296,0.9204453830536248,0.0365793057934104,0.045648215047501495,0.8451804986974321,0.9272078875603105,0.8917465866968084,-0.03598833365598553,-0.02869879635681638,True,False,False
histologic_type_icdo3,8010,nested_pseudo90,963,899,64,0.9335410176531672,0.9636552440290758,0.969896004378763,0.9349750284329724,0.0432790889558774,0.06017786042684914,0.8452751817237798,0.9281961471103327,0.8945904359016781,-0.041699857268430285,-0.04038459253129434,True,False,False
histologic_type_icdo3,8246,nested_pseudo90,221,205,16,0.9276018099547512,0.9366515837104072,0.9757281553398058,0.9533526629471804,0.049111239916920235,0.07855549494105707,0.8461538461538461,0.9387755102040817,0.9084569212300305,-0.03695264513572416,-0.04489574171714983,False,False,False
histologic_type_icdo3,8000,nested_pseudo90,2330,2241,89,0.9618025751072962,0.9772532188841202,0.9809650287737938,0.9585584639619603,0.05434811335090817,0.08376129595583703,0.8450643776824034,0.9258907363420428,0.9022379714488632,-0.05507429243175099,-0.05632049251309712,True,False,False
histologic_type_icdo3,8551,nested_pseudo90_nn20,514,150,364,0.2918287937743191,0.1828793774319066,0.5901639344262295,0.7900700753606283,-0.3372490008971536,-0.08608522506034377,0.8443579766536965,0.5068493150684932,0.39673013453728767,-0.08331461935773632,-0.3933399408233407,True,True,True
histologic_type_icdo3,8240,nested_pseudo90_nn20,323,104,219,0.3219814241486068,0.25077399380804954,0.6270270270270271,0.7784274580349877,-0.30038590829635603,-0.09772784238598442,0.8452012383900929,0.5464190981432361,0.4229472842848202,-0.08060792888379098,-0.3554801737501675,False,True,True
histologic_type_icdo3,8550,nested_pseudo90_nn20,252,164,88,0.6507936507936508,0.5912698412698413,0.7284345047923323,0.6678609330199248,-0.1989784305310508,-0.20829436740104734,0.8452380952380952,0.7798408488063661,0.6285003499231031,0.05140634401403377,-0.039360583096821666,False,True,True
histologic_type_icdo3,8255,nested_pseudo90_nn20,253,153,100,0.6047430830039525,0.5731225296442688,0.8053691275167785,0.7720824550413111,-0.12204380780660462,-0.104072845379661,0.8458498023715415,0.8119891008174387,0.6900950381631776,0.00661997330066022,-0.08198741687813349,False,True,True
histologic_type_icdo3,8071,nested_pseudo90_nn20,293,207,86,0.7064846416382252,0.6621160409556314,0.8528678304239401,0.8024457811287665,-0.074545104899443,-0.0737095192922056,0.8464163822525598,0.865934065934066,0.7686093860806624,0.013066235510125868,-0.033836395048104095,False,True,True
histologic_type_icdo3,8140,nested_pseudo90_nn20,8941,7378,1563,0.8251873392238005,0.8495693993960407,0.9179911847201816,0.8585068868172814,-0.009421750603201495,-0.017648413603690738,0.8449837825746561,0.9171633295386058,0.8583165710109696,-0.0008278551815757984,-0.00019031580631179157,True,False,False
histologic_type_icdo3,8046,nested_pseudo90_nn20,1260,1093,167,0.8674603174603175,0.9087301587301587,0.9320822162645219,0.8696441888729837,0.004669280941138831,-0.006511111547988446,0.8452380952380952,0.9147358665430955,0.8586685112944848,-0.017346349721426457,-0.010975677578498821,True,False,False
histologic_type_icdo3,8070,nested_pseudo90_nn20,3956,3451,505,0.8723458038422649,0.8996461071789686,0.9366619115549215,0.8819108507361415,0.00924897623153842,0.005755550315169389,0.8450455005055612,0.9231675007359434,0.8733730852332794,-0.013494410818978064,-0.008537765502862116,True,False,False
histologic_type_icdo3,8041,nested_pseudo90_nn20,2687,2496,191,0.9289170078154075,0.9586899888351321,0.9629337539432177,0.9213181941163436,0.03552081861983458,0.04516289369537152,0.8451804986974321,0.9272078875603105,0.8917465866968084,-0.0357258663829072,-0.02957160741953524,True,False,False
histologic_type_icdo3,8010,nested_pseudo90_nn20,963,899,64,0.9335410176531672,0.9657320872274143,0.9699289229086933,0.9342444879554526,0.042515987585310167,0.058089187534480446,0.8452751817237798,0.9293636894337419,0.8963044125536831,-0.040565233474951334,-0.03794007540176947,True,False,False
histologic_type_icdo3,8246,nested_pseudo90_nn20,221,205,16,0.9276018099547512,0.9366515837104072,0.9757281553398058,0.9533526629471804,0.048315220016422744,0.07719736252620824,0.8461538461538461,0.9387755102040817,0.9084569212300305,-0.03695264513572416,-0.04489574171714983,False,False,False
histologic_type_icdo3,8000,nested_pseudo90_nn20,2330,2241,89,0.9618025751072962,0.9755364806866953,0.9818342933097032,0.9610748282992195,0.054421357986320085,0.08491952787824741,0.8450643776824034,0.9263657957244655,0.9028646511190627,-0.05546849758523764,-0.058210177180156863,True,False,False
