dimension,slice,candidate,outer_fold,rows,actual_dead_rate,fold_global_policy_predicted_dead_rate,fold_global_policy_dead_class_f1,fold_global_policy_weighted_f1,fold_within_slice_predicted_dead_rate,fold_within_slice_dead_class_f1,fold_within_slice_weighted_f1
age_recode,45-49 years,nested_pseudo90,1,72,0.7361111111111112,0.6944444444444444,0.8932038834951457,0.8505867340226801,0.8472222222222222,0.8947368421052632,0.8169590643274853
age_recode,45-49 years,nested_pseudo90,2,91,0.6923076923076923,0.7802197802197802,0.8656716417910447,0.7916188289322618,0.8461538461538461,0.8714285714285714,0.7791208791208791
age_recode,45-49 years,nested_pseudo90,3,61,0.6229508196721312,0.7377049180327869,0.8674698795180723,0.8110930481066764,0.8524590163934426,0.8444444444444444,0.7381375227686703
age_recode,45-49 years,nested_pseudo90,4,59,0.8305084745762712,0.8135593220338984,0.9278350515463918,0.8835692236006756,0.847457627118644,0.9494949494949495,0.9134520945404085
age_recode,45-49 years,nested_pseudo90,5,58,0.7931034482758621,0.7413793103448276,0.8764044943820225,0.8176847905635197,0.8448275862068966,0.9052631578947369,0.8361939331086335
age_recode,45-49 years,nested_pseudo90_nn20,1,72,0.7361111111111112,0.6944444444444444,0.8932038834951457,0.8505867340226801,0.8472222222222222,0.8947368421052632,0.8169590643274853
age_recode,45-49 years,nested_pseudo90_nn20,2,91,0.6923076923076923,0.7802197802197802,0.8656716417910447,0.7916188289322618,0.8461538461538461,0.8714285714285714,0.7791208791208791
age_recode,45-49 years,nested_pseudo90_nn20,3,61,0.6229508196721312,0.7377049180327869,0.8674698795180723,0.8110930481066764,0.8524590163934426,0.8444444444444444,0.7381375227686703
age_recode,45-49 years,nested_pseudo90_nn20,4,59,0.8305084745762712,0.7966101694915254,0.9375,0.9018682588597843,0.847457627118644,0.9494949494949495,0.9134520945404085
age_recode,45-49 years,nested_pseudo90_nn20,5,58,0.7931034482758621,0.7586206896551724,0.8888888888888888,0.8323017978190392,0.8448275862068966,0.9052631578947369,0.8361939331086335
age_recode,50-54 years,frozen_tree,1,160,0.8,0.79375,0.9098039215686274,0.8570739064856712,0.84375,0.9277566539923955,0.8755386565272497
age_recode,50-54 years,frozen_tree,2,166,0.7469879518072289,0.7831325301204819,0.9212598425196851,0.8763071668868083,0.8433734939759037,0.9318181818181818,0.8820952258230783
age_recode,50-54 years,frozen_tree,3,161,0.8012422360248447,0.8012422360248447,0.937984496124031,0.9006211180124224,0.84472049689441,0.9433962264150944,0.9023419911550821
age_recode,50-54 years,frozen_tree,4,154,0.7012987012987013,0.7857142857142857,0.8646288209606987,0.7878524659244354,0.8441558441558441,0.865546218487395,0.7691585725199171
age_recode,50-54 years,frozen_tree,5,148,0.7972972972972973,0.8513513513513513,0.9180327868852459,0.8566851845540371,0.8445945945945946,0.9135802469135802,0.8507815992092721
age_recode,50-54 years,nested_pseudo90,1,160,0.8,0.8,0.921875,0.875,0.84375,0.9429657794676806,0.9017410446267761
age_recode,50-54 years,nested_pseudo90,2,166,0.7469879518072289,0.7530120481927711,0.9076305220883534,0.860889340494508,0.8433734939759037,0.9318181818181818,0.8820952258230783
age_recode,50-54 years,nested_pseudo90,3,161,0.8012422360248447,0.7888198757763976,0.921875,0.8771733248635423,0.84472049689441,0.9358490566037736,0.8893209233090931
